,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
48580,31768,UACK,medium_airport,Kokshetau Airport,53.329102,69.594597,900.0,AS,KZ,KZ-AKM,Kokshetau,yes,UACK,KOV,,,https://en.wikipedia.org/wiki/Kokshetau_Airport,KOKCHETAV TROFIMOVKA
48581,32495,UACP,medium_airport,Petropavlosk South Airport,54.77470016479492,69.18389892578125,453.0,AS,KZ,KZ-SEV,Petropavlosk,yes,UACP,PPK,,,,
48583,6424,UADD,medium_airport,Taraz Airport,42.853599548339844,71.30359649658203,2184.0,AS,KZ,KZ-ZHA,Taraz,yes,UADD,DMB,,,http://en.wikipedia.org/wiki/Taraz_Airport,Aulie Ata
48587,6425,UAFL,medium_airport,Issyk-Kul International Airport,42.587920000000004,76.71304599999999,5425.0,AS,KG,KG-Y,Tamchy,yes,UCFL,IKU,IKU,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,http://en.wikipedia.org/wiki/Tamchy_Airport,"UAFL, Issyk-Kul Airport, Chok-Tal Airport, Аэропорт Тамчы, Аэропорт Иссык-Куль, Аэропорт Чок-Тал"
48588,6426,UAFM,large_airport,Manas International Airport,43.0612983704,74.4776000977,2058.0,AS,KG,KG-C,Bishkek,yes,UCFM,FRU,,,http://en.wikipedia.org/wiki/Manas_International_Airport,"UAFM, Manas Air Force Base"
48589,6427,UAFO,medium_airport,Osh Airport,40.6090011597,72.793296814,2927.0,AS,KG,KG-O,Osh,yes,UCFO,OSS,,http://www.airport.kg/eng/branches.htm,http://en.wikipedia.org/wiki/Osh_Airport,
48591,6428,UAFW,medium_airport,Kant Air Base,42.85319900512695,74.84649658203125,2549.0,AS,KG,KG-C,Kant,no,UAFW,,,,http://en.wikipedia.org/wiki/Kant_Air_Base,
48593,6429,UAII,medium_airport,Shymkent Airport,42.364200592041016,69.47889709472656,1385.0,AS,KZ,KZ-YUZ,Shymkent,yes,UAII,CIT,,,http://en.wikipedia.org/wiki/Shymkent_Airport,"Chimkent Airport, Аэропорт Шымкент, Аэропорт Чимкент"
48594,6430,UAKD,medium_airport,Zhezkazgan Airport,47.708302,67.733299,1250.0,AS,KZ,KZ-KAR,Zhezkazgan,yes,UAKD,DZN,,,http://en.wikipedia.org/wiki/Dzhezkazgan_Airport,"УАКД, Жезказган, Dzhezkazgan South"
48595,6431,UAKK,large_airport,Sary-Arka Airport,49.670799255371094,73.33439636230469,1765.0,AS,KZ,KZ-KAR,Karaganda,yes,UAKK,KGF,,,http://en.wikipedia.org/wiki/Sary-Arka_Airport,
