,Sentence
2694,good seat really lot people aisle flight wasnt comfortable
2695,absolutley cramped aircraft although good view wing
2696,perfect plenty legroom nothing like people say ryanair comfortable flight
2697,space long legs
2698,seat good best space leg room near toilets good rate tuifly 7 10
2699,nice calm seat good recline extra legspace
2700,seat narrow though
2701,seemed entertainment box seat 19 e results less space legs 20 e
2702,typical westjet subpar areas plus like everyone else upcharge every little thing like seat selection 1st checked bag air water gravity lift etc
2703,great seat comfortable
2704,leg room quite good problem curvature airframe narrows anyone 6 feet wont adequate headroom
2705,leg space seat width probably one lowest almost pure low budget airlines
2706,seat entertainment good though
2707,4 hr trip seat noisy
2708,ife working well
2709,plenty leg rooms however right arm rest short
2710,sitting aisle seat last row awful
2711,intrusive noisy unpleasant
2712,premium eco seat without leg space
2713,great seat
2714,plane good liked flight
2715,good seat problem legroom
2716,poor business class seats long flights
2717,food good new plane 6 h flight seat recline
2718,really pleasant flight purple mood lighting really helped relax chair good legroom width 3 half hour long flight
2719,good short haul flights nice business class meal comfortable flight short haul
2720,legroom row 1 business
2721,great seats fine weather origin destination va use front rear door boarding disembarkation quite easily plane business class passengers wait aerobridge docked
2722,great legroom exit row
2723,good space recline little empty plane use seat 21 b also
2724,best seat aircraft
2725,seats best economy class seat experienced
2726,i´ve flown many airlines space comfort seats excellent economy class
2727,note storage space limits seats middle seat ac power box aisle storage narrow
2728,flew first class plane amazing friendly staff good food lots leg roomif put stuff overhead binsi put stuff underneath seat okay since short really good long legged people
2729,storage seat 1c matter
2730,seat wall pocket nothing hold everything lap glasses book anything
2731,seat comfortable spacious
2732,great leg space power electronic devices
2733,1d 1e good seats airline helpful providing grandmother belt extensor
2734,seats way narrow
2735,seats narrow seats probably airlines type little bit legspace recent tight seating arrangements
2736,beware brasil customary recline ones seat full flight time sleeping
2737,great seat plenty floor storage seat front
2738,comfortable seat storage usual domestic first class addition seatback decent tray table side console extra tray set drinks
2739,better average ife selection
2740,would definitely recommend seat specifically probably aircraft overall seemed quiet smooth illusion space given lighting window setup
2741,seat comfortable im 510 220 lbs fit nicely
2742,never used power outlets since short trip priority seating deplaning free alcoholic drinks worth extra money
2743,tray tables exit rows arm reats making seats narrow arm rests fixed
2744,seat reclined fine comfortable 7 foot tall passenger
2745,arm rests dont move leg room little tight due bulkhead
2746,fusilage wall angle reduces shoulder room 2 making seat uncomfortable
2747,flew seattle boston via chicago found seats perfectly comfortable
2748,food good lots services warm nuts meal
2749,entertainment bit disappointing however brought
2750,uncomfortable seat ever
2751,paid extra leg room exit row seat narrow upright arrived phoenix leg back pain
2752,flying 40 years one worst seats ever
2753,main cabin extra seat good
2754,worst seat flown 10 years
2755,rib plane hits shoulder area seat really narrow short pitch seems
2756,uncomfortable seat pay extra
2757,2c best seat
2758,aircraft horrible food disgusting leg room air hostesses least bothered listen
2759,6 ft tall man night flight couldnt sleep seats wouldnt recline leg room travelling mh 193 never gon na travel airline
2760,2 hour flight kulsgn decent seat standard legroom side collect headphones start descent cant finish program youre watching
2761,travelled perth kuala lumper back aircraft little legroom seats fact knees seat front flights
2762,flying bkkkul seat ok plenty legroom big downside didnt know booking serve alchohol even business class flights less 3 hours least low cost carrier buy drink disappointed wasnt advised booking
2763,nice seat may located back give best view see sky sea still seing winglet
2764,seat okay window clear view interrupted wings
2765,good seat dislike people kicking behind still reclines like others close galley need assistance crew
2766,seat comfortable
2767,good seat
2768,paid extra premium seat get extra leg room long flight sfo koa really think necessary
2769,standard economy seats seemed plenty room
2770,power decent leg room misaligned window
2771,seat 4f obstruction place supposed put bag behind 3f reduces leg space
2772,great space free entertainment n devise
2773,find recaro seats particularly uncomfortable seat short front back properly support average persons thighs
2774,past always found alaskas seats comfortable new seats terrible
2775,new seats narrow firm limited recline
2776,comfortable older seats longer flights
2777,youre anything like love engine buzz also think bit loud seat perfect
2778,noisy perfect hummmand seat near front plane youre first
2779,considered preferred seat actually narrow located extreme nose 747
2780,absolutely best seating arrangement
2781,plenty legroom
2782,disadvantage seats little narrow tray table armrest
2783,bad seat anyone wants rest trip hand luggage compartments location exclusive use cabin crew constantly loading removing luggage
2784,row 29 offers plenty leg space bulkhead
2785,seats 29defg offers even leg room
2786,good seat legroom
2787,good seat space others airlines
2788,great business class seat
2789,tvbox seat claims lot legroom
2790,fantastic first class experience
2791,despite legend seat lot legroom
2792,say worst experience flying business l took hour leaving lounge boarding plane bridge go bus wait forever board seats narrow hard something much larger shoe box put fleet sleeping return premier economy lets hope better price
2793,good place legs
2794,wonderful plane amazing seats
2795,business class seat comfortable amenity kit alright
2796,seat wall lot storage business class seats good dont like putting things head compartment
2797,bad thing seat get table move little thing side order open compartment get table
2798,noise cancelling head phones good quality food good overall experience quite good
2799,flew jfk april 17 fra party three service food average excellent ife never got bored seated little compartment behind business class kind cozy
2800,great seat great legroom low noise due distance engine
2801,seat 52c cramped
2802,plenty leg room arm rest next wall move making uncomfortable ride arent skinny person
2803,nice small cabin flight seattle london
2804,free entertainment massive window great seat
2805,best seat club
2806,quiet upper deck private access aisle involve climbing anyone
2807,great business class sat going new york really good services great airline
2808,seat comfortable
2809,ife games great movies prefer food united
2810,noisy height turbines
2811,could sleep flight attendant mentioned uncommon area noisy
2812,seat privacy opposed isle seat however require leave seat may approach difficulty person diagnol may sleeping therefore would require climb
2813,overall seat sleeping
2814,excellent seat one immediately behind
2815,prefer aisle prevents climb anyone long overnight flight
2816,63k good get seat side get rest ba apart staff terrible late departures poor class boarding poor food stone age ife dirty said deep clean aircraft ba disgraceful dont care would retire graceful 747s love past retirement date ba keep selling business class tickets sub par service
2817,curvature fugilage made seat tight uncomfortable
2818,seat great dont climb anyone get
2819,5inch tv charging point
2820,50a good seat economy better many
2821,viewing window comfortable seat added advantage seat behind recline seat without inconveniencing anyone behind danger urchin kicking back seat 8 hours
2822,middle section seat little privacy open entire left side
2823,drink area tiny unless open giant dining table storage like window side seats little closet storage bin
2824,tall one seats good legroom plane
2825,great seat although really comfortable lie flat great locker space side handy shelf
2826,good seat u actually view window really love 747400
2827,really good seat easy access seat front however comfort etc leaves lot desired plane really showing age
2828,great seat
2829,like carry extra pounds getting seat uncomfortable squeeze bulkhead
2830,agree plane feels old dated
2831,seat uncomfortable bumped constantly crew walking
2832,foot rest found special flight tv reading lights
2833,long cramped boring flight
2834,good seat good wing view see engine flaps would recommend anyone likes watching flight control serfices
2835,ba club world seats fixed leg room due configuration exit row seats legroom
2836,however 62 ak 64 ak best seats cabin
2837,ledge storage compartments next window persons legs climb leaving seat flight
2838,specific storage compartment configuration high privacy levels 64a 64k best club world seats plane
2839,seat 1a 1k good choices
2840,traffic end first class except start end flight ton storage closet dont stretch arguably best view plane except maybe two blokes upstairs
2841,excellent choice seats dark whole journey need window seat meant climb anyones legs go rest room excellent flight frpm singapore
2842,upper deck fantastic whole upper deck perfect also staff highly professional prefer seat near exit additonal space legs even set good area silent polite behaviour staff would like use opportunity thanks ba good choice
2843,decent seat lots leg room room leave stuff around take
2844,food decent staff pleasant enough
2845,one better long haul flights
2846,entire first class service seat excellent seat
2847,though dont get much privacy shelving wall seat seat great travelling partner
2848,terrible seat available footroom blocked inflight entertainment system
2849,great seat
2850,quiet enough good window seat
2852,seat feels slightly cramped compared seats upper deck due curve fuselage
2853,space seat front reduced large lump metal
2854,addition inability recline makes worst seat plane
2855,general terms seat great
2856,plenty leg room able sleep almost whole trip
2857,however recommend earplugs additional blanket since get bit noisy cold flight
2858,hand aircraft old klm service poor
2859,seat firm food options awful
2860,won´t fly klm long haul trip
2861,seat little metal box front narrows space legs
2862,bad seat really unconfortable narrow time many people front waiting toilet difficult stretch legs noisy avoided
2863,great seat overall may disturbed passengers accessing coat closet lighted
2864,sfolhr easily best economy cabin route
2865,refurbished modern cabin excellent new panasonic ife system comes without obsene footspace robbing equipment boxes get bas a380s 777s also fly route
2866,great seat served first private
2867,best seat upper deck ba introduces wifi flight
2868,electrical box seat infront reduces leg room storage space
2869,great seat lost storage person row behind foot stool didficult get aisle without knockibg stepping
2870,bad seat donfiguration
2871,flew londonsingaporesydney back ba trip 747 great experience felt like little cabin cosy relaxing
2872,bad row obstructed
2873,great seat get two whole windows self
2874,general good service friendly
2875,seat half leg space box seat 35b
2876,space left leg
2877,seat 36b bad may good pirate right leg
2878,seat limited leg space due fixed box front seat
2879,plenty legroom one usb power port per seat odd smell nearby lavatories whatever
2880,mce seats awful
2881,business seats awful
2882,old nasty aircraft crt monitors give break
2883,great space legs usual icelandicairs aircrafts
2884,narrow uncomfortable seats
2885,incredibly old plane everything dated toilets particularly unacceptably maintained
2886,inseat entertainment tablet handed relatively good selection responsive touch
2887,although seat narrow bed comfortable possible sleep
2888,food good flight cabin crew superb probably knew make piece junk plane
2889,old planes
2890,entertainment stsyems coach overhead screens
2891,flight mxp ok small box seat front return plane different large box seat front
2892,confusing since said power entertainment
2894,seat unconfortable recline inch
2895,seats biz ac power ports seats main cabin extra still dccar charger power ports long haul flights carry converters ask nicely might able get one
2896,found seat little bit narrow seat controls always involuntarily activated arm seat needs configured often
2897,however believe nice seat aisle access great business class
2898,seat two toilets stable middle airplane also good leg space 6ft tall person
2900,im 6 6 tall stretch seat comfortable sleep
2901,seats great extra 3 inches legroom versus jal 787 made return flight much pleasant ride newer airplane
2902,little old feeling inside comfortable seat decent pitch good choice ife
2903,international midhaul flight well worth finding flight aircraft a320 cramped midhaul ife dreamliners narrower seats
2904,good seat good space good view outside
2905,great seat amenities legroom comfort
2906,old aircraft tight seating
2907,pleasant experience wife 2 small children
2908,poor seat stuck right back plane limited recline
2909,also extremely noisy right engine close
2910,poor seats les legroom ryan air flight spain absolutly shocking paid £252 extra seats could sit lega forward smaller seats front room comprimised make crew seats behind larger complained numerous times nothing done spent journy austrailia sat floor emergency exit
2911,spacious seat great view window
2912,someones whos little large rather tall seat fine comfortable
2913,seat fine boarding arrangements food service toilets inferior airlines
2914,seat great even youre taller 190 cm
2915,lots space legs enough windows great view
2916,leg room lavatories jutting people congregating feet get stepped kicked frequently
2917,really liked quiet aircraft spacious toilets world traveller
2918,seats comfortable however would avoid sitting seats world traveller tall due presence inflight entertainment box next seat support really reduces space put legs
2919,seat big comfortable lots leg space good recline
2920,hand plane quite old monitor lagged lot touchscreen bit dodgy seats bit wear tear since plane bit old overall liked
2921,first class seats plane wonderful traveling another e f seats ones arent also plane business class little claustrophobic business class plane still 8 across makes seats narrow side terrible first class seats wonderful spacious
2922,business class seats comfortable prefer l best
2923,like l seats best
2924,business class seats comfortable long flights
2925,good business class seat mini cabin quiet cozy
2926,seat although small cramped surprisingly comfortable 14 hours sfopvg window seats surprising leg room
2927,seat okay bulkhead gives measure quiet galley activity
2928,overall flight experience ba disappointing enough food business class
2929,planes older nowadays excuse internet plane
2930,cramped seat aircraft warm long hual needs make looks 20 years old
2931,plenty space nice quiet marvelous service cabin crew first experience travelling first class loved
2932,seat aircraft really comfortable noticed wide width seat pitch also reasonable
2933,good experience club world seat
2934,middle seats although inconvenient bad look excellent sleeping
2935,food flight awful service excellent
2936,experience heathrow t5 also great would fly ba club reasonable price
2937,sat couple last row wtp great seat fully recline seat bulkhead one behing easy access toilets direclty behind cabin section curtain closed flight excellent choice food choice two dishes club world menu
2938,toilets found couple bothersome way behind wtp curtain wt section last row wtp seats fully recline passangers behind ife box 25j slghtly bothersome overall good seats couple
2939,great plane quit new huge personal screen fresh great food good legroom best flight ever
2940,good seat first time flying see side flight
2941,leg space bit low bus super comfortable seat display good well
2942,new style plane decent media screen window good place seat foot rest available recline made overnight flight quite comfortable
2943,seat comfortable plane old old style media screen grid lines running day flight need recline seat comment
2944,seat great tv armrest unlimited leg room
2945,got seats 20j 20k much cooler 20b 20c heaters seat made long flight pretty uncomfortable leg
2946,beware babies row ahead likely staff great supporting young parents
2947,nice wide premium eco seat plenty legroom comfiest seat ever certainly worst
2948,great service entertainment system need serious upgrade
2949,seat behind
2951,crew decent dont offer drinks often
2953,great seat regular eco great screen usb good movies quite ok
2954,seat window
2955,seat actually pretty good
2957,plus seat front
2958,great lie flat seat great service best champagne ever
2959,worst seat ever
2960,fly regularly af premium economy seats worst economy class seat
2961,recline ridiculous foam width make worst light experience date
2962,excellent seat excellent staff excellent legs everything
2963,icnsfo excellent attentive service average food however legroom problem video box taking much space able fit feet front seat avoid seats
2964,business class seats flight old worn uncomfortable even angled lieflat seats
2965,happen end row alone think youve lucked lay think arm rests may go making next impossible squeeze legs sit back window good overnight flight
2966,seat k12 london mumbai ba 777 world traveller plus premium economy worth extra go premium cabin three rows quiet
2967,staff brilliant seat ok much better room economy alot width plenty leg room
2968,food hmmm average service super
2969,good clean modern aircraft
2970,long flight 14 hours buenos aires london sleep due high noise level engine cold due bad insulation
2971,quite worst business class seat ever sat
2972,narrow uncomfortable storage seat
2973,perhps worst business class experience years gave impression ba money
2974,redeeming feature crew pleasant cheerful
2975,seat recent flight perfect little distraction near toilet also gatwick nearest exit port get plane great seat service
2976,impressed service airline
2977,flew club world many services available
2978,fast track security busier normal security priority boarding seat broken tv screen faulty choice food run beer ice cream etc etc
2979,great experience kl810 809 cgk kul return
2980,big vod screen good selection seats go 100 flat slight offset seats means good access aisle even window seat
2981,fantastic klm service per usual including gift little collectible ceramic house
2982,great seat
2983,quiet section wbc
2984,plenty leg room even though isle narrow
2985,seat bottom hard couple hours becomes real pain
2986,aisle seat hard back seats seems fairly new great tv usb charger
2987,good seat dont block neighbor contrary windows rank
2988,wonderfull seat lot leg space front cabin
2989,seats narrow
2990,plenty legroom could reach touch bulkhead cold air floor level vents slight problem
2992,bulkhead seat economy first row lot leg room
2993,great business class seat
2994,bulkhead immediately front provides private feeling seat front handy extra shelf place things empty wine glasses next seat front would normally
2995,proximity galley lavatories problem slept 4 hours daytime flight
2996,nice economy plus seat foot rest pillow blanket
2997,seat great galley issue
2998,seats good service soo good
2999,flight operated qatar airways seat 1k view good normal people aviators located far engine view
3000,seat like standar business class seat extra legroom space close bathroom inflight kitchen
3001,seven hours flight pretty good
3002,seats uncomfortable hard
3003,ife nice though
3004,premium economy seats much better economy perfectly comfortable enough provide rest long haul flight
3006,noise toilets bothersome seats served last food may get choice main course left
3007,however flight attendant helpful found economy main dish didnt like pe one left
3009,ife great food ok better average company
3010,nice aisle seat rear end economy
3011,yc seat configuration es 333 last two rows 232 leaving space aisle seats c j
3012,flew guangzhou ist 20170923 food good service seat 6k comfortable
3013,flew incheon istanbul september 11 2017 great seat service par
3014,great seat great staff
3015,food tk outstanding best struck round world trip including thai first class emirates air nz business
3016,seat flat bed large screen tv
3018,excellent sear wide legroom wasnt noisy moreover wide range functions positions done seat
3019,great seat
3020,leg space incredible
3021,video screen awesome
3022,seats business old worn uncomfortable
3023,narrow cant cross legs im 510
3024,cushion worn seats lieflat 170 degree best
3025,food service okay avoid future due poor condition seats
3026,good leg room good width seat cushions needed rebolstering remote needed replacement carpets needed cleaning
3027,perfect seat legrest family coach
3028,good seat lot legroom
3029,great seat although close galley noise due curtain
3030,excellent seat private due close window
3031,flew jakarta amsterdam return found seat good even though male larger variety comfortable
3032,wife loved adjustable foot rest liked generous legroom
3033,new business prestige suite hl8011 great surprise boarding
3034,centre arm rest lift making uncomfortable seat long flight
3035,great flight
3036,comfortable seat
3038,easy checkin
3039,pretty good seat despite comments
3040,meal service really good ammdoh
3041,armrest immovable horrible seat narrow v uncomfortable
3042,normal seat width huge entertainment box bottom cramping leg space
3043,new boeing plenty room great screen viewing movies
3044,good seat position near toilets close enough get good service meal times
3045,great airline flew dohaperth comfortable economy class well great food ife would highly recommend airline youll 7 hour layover worth comfortable board
3046,seat narrow like others 343 configuration
3047,however even worse narrow seats window means even less space next left lean avoid bumping shoulders neighbour
3048,worst flight 40 years intensive flight travel
3049,sit seat general find company 333 seats type aircraft 343 really many seats row resulting ridiculously narrow seats narrower normal adult shoulders male female
3050,beware ac device front seat limits space
3051,business class seats lot narrower asian competitors like ana cx
3052,seats per row
3053,best economy seat ever sat 777 beaten middleeastern asian a380 seats
3054,great leg room great seat width
3055,equipment boxes stealing foot space despite excellent ife system huge movie choice large screen
3056,great seat 1
3057,5 overhead storage space large table area right monitor placing even small suitcase flight
3058,flew la premiere paris new york confortable seat
3059,probably best experience view got upgraded business la premiere
3060,good seat near front plane one first get served meals come around
3061,new af lieflat seats comfortable good storage room odds ends
3062,due row 20 windows row 21 row economy cabin window seat two windows thus providing best view economy cabin
3063,indicated good seat
3064,flown premium economy frayyz great experience
3065,seat extremely comfortable service great absolutely worse pricy ticket plus get priority service like business class passengers baggage handling boarding priority
3066,bad seat recline seat front recline leaving less space premium economy seat economy seat
3067,bad seat recline seat front recline leaving less space premium economy seat economy seat
3068,bad seat recline seat front recline leaving less space premium economy seat economy seat
3069,bad seat recline seat front recline leaving less space premium economy seat economy seat
3070,although 23 defg recline slightly 23 hjk assume abc recline 6ft 2 pleasant hours legroom window reclining seat took window
3071,row 20 windows unless seat reclined
3072,worst business class seats ever designed
3073,poor seat orientation inadequate leg room space footwell fully reclined badly positioned head rest lumbar support 1 tine
3075,new business class seats extremely uncomfortable 6 tall head rest provides support unless slouch lumbar support doesnt provide benefit leg room inadequate movement severely restricted leg rest extension doesnt provide adequate support knee overhead lighting poorly positioned fully flat position room move feet jammed foot well difficult get entrance small restricted overall old pods superior worst business class seat ever impossible get comfortable
3076,noise enjine loud pretty good amount legroom economy
3077,14hour flight bad good 50h go kal777300er
3078,seat lot legroom sitting could see terminal landing
3079,good leg room good space seat front
3080,wasnt keen originally another middle seat flight pretty empty middle 4 seats gave decent amount room relax given im 62 service great highly recommend qatar airways anyone travelling long distances
3081,curtain classes intrudes personal space seat
3082,26c great legroom however slight kink aisle means stretch legs people walk service carts hit feet sleeping turn around wall
3083,nice modern aircraft
3084,seat comfortable recline good
3085,seat 27a good alignment window
3086,enjoyable flight legroom good ife
3087,window row
3088,plenty leg room baby baskinets bothersome
3089,seat isnt larger others premium business due exit front felt bit less comfortable smaller legroom
3090,tons leg room premium economy aware people use walk step legs without asking
3091,windows 5k 5a stowage space centre seats means competition little space window seats
3092,said service meals excellent
3093,good seat
3094,seat narrow uncomfortable
3095,fact uncomfortable seat ive ever flown major airline
3096,seat bad position everyone bumps board fas bump flight
3097,tons leg room rest everyone keeps bumping ypu
3098,great cabin concept good view despite wing engine
3099,good premium economy flight yyz tel aviv
3100,seat comfortable service excellent
3101,knock lack space seat front reclined
3102,otherwise great 10 hour flight
3103,comfortable seat daughter sat 13 e aisle centre excellent choices
3104,even centre seat comfortable
3105,lots legroom good plugins tablets
3106,seat good new nice space legs
3107,great flight brand new airplane 787 dreamliner
3108,worst modern airplane world uncomfortable flight 3 hours apart nefarious subject windows darken button since even dark window light exterior follows annoying trip
3109,good seat get half seat worth empty space right side
3110,particularly helpful youre carrying things may need flight dont want crowd leg space
3111,seats comfortable
3112,near exit leg space hear lavatory door bangs flush sound many many times
3113,seat uncomfortable 63 couldnt sleep flat seat impeded bulk head uncomfortable flying lhr bom
3114,comfortable seat leg room economy class seat airlines
3115,great dreamliner business class quiet full 180° bed et shadowing window
3116,best flight experience
3117,flying first time flight blr del dream liner good experience except crew experience little unagreeable
3118,love seat may standard great enough legroom although middle feel incredibly comfy
3119,nice seats brand new aircraft inflight service awful seems avianca standard rude none smile staff harsh noisy among talk loudly galley sad think last flight saoboglaxbog sao
3120,plane excellente bussines classwhere space independat seats
3121,row little beat less space ones back rows business class
3122,even close bathroom little bit space outside seat place hand luggage shoes
3124,fixed box seat front 34a stretch left leg uncomfortable long haul night flight
3125,narrow legroom theres box floor leaves maybe 12cm width legroom
3126,best seat economy cabin
3127,uncomfortable economy seat ever experienced
3128,storage locks row 1 2 leaving limited storage club world
3129,seat poor due exit door protruding much magazine rack situated next seat forced sit nearly 45 degree angle
3130,horrible flight experience
3131,fly lot good seat
3132,hostess said ba recently starting selling seat bad
3133,found seat quite comfortable
3134,plenty leg room wide well
3136,overall good seat disturbed much toilet leg space course extremely good
3137,aircraft dreamliner 7878 series seats small near toilet noisy lean back doable
3138,overall seats aircraft tight even though im small person
3139,rows 1013 great generally disembark first business class however bassinet 10ac known till flight
3140,seat much legroom standard economy seat apart small upfront section economy quieter
3141,great businss class seat plenty leg room overhead storage space
3142,travelled honolulu brisbane found seat excellent extra legroom awesome extra yes bit busy area due toilets galley didnt bother yes would actually return
3143,window mis aligned seat front reclines hard see smell toilets pretty bad hours
3144,pleased comfort seats legroom access lights service button tv console good lighting general plane softer
3145,comfortable spacious business class lieflat seats
3146,service superb excellent food wines although entertainment system somewhat outdated
3147,dont know many 787s qr got like plane 343 layout economy horrificly narrow seats noticebly worse 333 layout qr 787 flights took bhx bkk via doha
3148,333 layout overly great overnight flight 343 long haul absolute disgrace
3149,new modern air craft badly designed seats bad leg room metal box floor feet crazy
3150,seat a1 added storage space plus extra leg room noise galley loud
3151,nice fancy windows adjust brightness seat extremely cramped really enjoyable
3152,avoid economy class aircraft total wasnt spacious legs started ache really bothersome long haul flight
3153,absolutly worst seat ever tried flight one legroom non existing seat narrow worst thing seat back low support anyway service board really good ife
3154,dreamliner great airplane aircraft clean impeccable seating wrong super uncomfortable im 5 6 still struggling find comfortable position seating window airplane fuselage curves enough space seat makes difficult rest head get sleep im flying 7878 update experience service staff fine class well trained
3155,whole experience fine affordable however dreamliner aircraft light attendant button arm rest almost impossible press armselbows
3156,far worst part flight neck pillow help
3157,seats tight
3158,narrow seat exacerbated door bulging avoid looking leg space
3159,lot legroom exit door cuts personal space limits legroom right wall side seat
3160,seat comfortable
3161,bulkhead seat good legroom noise light galley enough prevent sleeping four hours flight even somewhat funky cradle business seat
3162,good seat nice window good space legs
3163,great seat spacious wide comfy
3164,quiet cabin excellent service good food presented real crockery cutlery wide choice menu copious amounts drinks wine spirts beer etc real glasses friendly airteam good bye econoomy
3165,seat great leg space flight attendants amazing lovely
3166,great seat good wing view amd middle economy
3167,comfortable seating decent leg room enjoyed flight sydney auckland
3168,seat lot storage space easy get aisle
3169,overall flight experience excellent
3170,drawback seat bit narrow much shoulder room 59 height
3171,nice seat however like fact table tv tv table move able comfortable sleep half body tabletv set
3172,much better ife compared equivalent premium economy seat 777200 going seats 7879 short lack swing calf rest making much less comfortable sleep
3173,food worse economy airlines service poor even coffee breakfast 14 hour flight
3174,probably worst seat aircraft chose window seat horror found window seat
3175,uncomfortable claustrophobic flight life
3176,awful seat window like ba boeing 787900 economy seats hard use blanket cushion
3177,great window seat three windows clear aisle access
3178,possibly best seat club world business class
3179,787 wonderful aircraft
3180,agree previous comment great seat tight wall sufficient room thin even view back window
3181,great seat
3182,lots legroom wide seat great service food
3183,excellent service best business class seat tried open suite aisle access every seat
3184,comfortable economy seats lots legroom
3185,large ife usb universal outlet per seat
3186,new aircraft perfect condition
3187,last row economy area little bit noisy general okay
3188,btw wifi available aircraft
3189,seats back row ok comfort lack sound insulation around 2 back toilets one hears flushing one toilet even toilet sitting two extremely noisy
3190,good window flatbed seat
3191,terrible seat pitch width economy class uncomfortable long haul flight
3192,airlines ive flown much comfortable seats aircraft
3193,great aircraft economy seats cramped tall persons used seatguru booking flight
3194,seats middle section overhead luggage compartment
3195,comfortable seat although sounds engine may bothersome
3196,seat narrow economy seat due curvature plane towards rearend
3197,great choice flying ten full hours seat mandatory early morning flight nice also good choice bulkhead seat economy
3199,head compartment small first two middle rows head compartments share 1a 1k board later stage might immediate space especially one bag
3200,seat seems old much leg space airlines
3201,movies updated latest ones either old average rated films
3202,food good staff good
3203,one best located seats isolated noise single window seat
3204,travelled amsterdam kansai osaka pretty impressed new aircraft clean crisp perhaps due new aircraft
3205,sat economy seat 21j k adequate leg space
3206,inflight entertainment cabin good
3207,short leg room
3208,seat great curve plane appears slightly smaller
3209,seate unconfortable emergency door raft uses 13 space legroom yo habe move legs side
3210,flight mad scl perfect everything seatbed drinks food service
3211,nice seat middle galys bathroom noisy
3212,best seat business class
3213,plane beautiful outside top technology less consumptions however planes world economy traveller higher 180 cm seat unconfortable cant sleep
3214,nice good legroom 5 foot 4 cabin crew friendly
3215,lot leg room good wifi nice mags order stuff got model 747800 went good service proximity cabin crew ask anything
3216,noisy due propeller
3217,seat 1c good leg room first class seats uncomfortable seat bottom set uncomfortable angle reclining doesnt help much
3218,plenty leg room armrest window short jabs side poor design moved would better
3220,seat kinda narrow simply lifting center armrest makes alot comfortable
3221,im 6 foot 5 inches tall mce seat plenty room
3222,exit row extra leg room shoulder room small plane 2 hr flight
3223,yes seats little narrow plenty leg space
3224,2 hour flight completely comfortable
3225,4f plenty leg room space sadly recline
3226,unmovable armrests make narrow seat
3227,good seat comfortable seat good window side
3228,ac getting rid planes old noisy dirty
3229,1df row 4 best plane
3230,1df good leg room seat tray
3231,labelled preferred seat leg room true tray table
3232,small plane comfortable seats quite wide foot hindrances
3233,great seat plenty legroom
3234,good seat comfortable leg space
3235,comfortable wide seat generous legroom
3236,good experience madrid london city airport last wednesday
3237,seat 25d strictly speaking exit seat extra inch legroom seat fully reclines plane little taper rear row 25 actually one best plane
3238,spacious seat ok view wing
3239,seat seat front
3240,although incredible amount legroom seat storage aisle angles may bumped passengers move
3241,2 restrooms 76 people kinda skimpy good luck seat belt sign much
3242,comfortable seat however window misaligned difficult see
3243,massive legroom bulkhead seat storage
3246,unfortunate power outlets otherwise comfortable plane compared regional jets
3247,2fs seat comfortable nice armrest stable tray table ample storage seatback front
3248,plane whole quiet airy compared regionals
3249,great seat
3250,position bulkhead leaves limited legroom underseat storage
3251,nice seat nothing special nice window aisle time
3252,worst airline ever
3253,charge everything seats uncomfortable
3255,lot legroom comfortable seats
3256,comfortable aircraft much legroom good inflight service
3257,nice wide seat enough space legs
3258,storage space top seats 1c 1d equipment limited storage top 2a 3a 4a small space briefcase
3259,great seat nice leg room seat storage
3260,bulk head seat great space tray armrest little bit unstable
3261,good seats leg space expected
3262,undoubtedly best seat business class front section plane first row seats right handside plenty legroom much first row left handside stretch legs far go
3263,seat indeed good one table armrest normal table additonal telescopic extension
3264,im 62 legs really cramped seat front im also big guy uncomfrontable
3265,often regional jets cramped uncomfortable plane great feels like larger jet like 737
3266,seat lot legroom although aisle makes awkward turn could mean get bumped passengers
3267,comfortable seat
3268,enough legroom im 54 5 knees back seat ahead plenty space width wide
3269,cold seat constant flow cold air flight attendants able help
3270,love aircraft seat comfortable plenty leg room
3271,im big guy far comfortable flight
3272,nice individual seat first class
3273,e175 seat well 8d 8f firstclass legroom bulkhead separating mce first
3274,aisle seat 8c seat front aisle traffic could bothersome
3275,seats row 9 ac recline due lavatory behind
3276,perfect legroom seat gets cold
3277,footrest tv overhead crew rest area front row 5
3278,poor narrow seat
3279,food poor well
3280,excellent seat rear plane considerably louder due rear mounted engines
3281,good seat fuselage angle changes row gives window seat quiet bit extra legroom
3282,seat provides lot leg room seat front though implies personal screen table must extracted left armrest
3283,proximity lavatories allows choose perfect time use avoiding queue jammed moments
3284,c seats least large entertainment box seat front leaving 12 inches width feet
3285,seat otherwise quite comfortable
3286,seat window view
3287,inflight entertainment outdated power input
3288,comfortable seat nice flight attendants boeing 777 flying nrtsin complaint 2 kids fighting jabbing back seat cant help
3289,overall nice flight would always recommend singapore airlines
3290,comfortable seat quite hike toilets
3291,rows slighly better remaining business class rows since seat front therefore much space legs flatbed also larger
3292,seat extra legroom space front aisle premium economy
3293,underseat storage tv armrest feet hit many times luggage carts flight attendants due position aisle
3294,ihave say one unfomtable seats sit long haul flight
3296,trolleys hit tv monitor constantly complain worth money complain singapore airlines
3297,seat great flew singapore hk great comfort
3298,great seat worry free recline
3299,great seat sleeping
3300,found seat 43g good seat plenty leg room close toilets cabin crew friendly helpful look passengers exellence always fly singapore thaning much regards kenneth thomas
3301,new business class seat comfortable
3302,sia service great usual
3303,seats nice wide standard flight conditions
