,cluster
1293,1
1294,10
1295,14
1296,6
1297,15
1298,13
1299,13
1300,1
1301,8
1302,14
1303,10
1304,3
1305,15
1306,14
1307,14
1308,9
1309,15
1310,6
1311,11
1312,11
1313,9
1314,4
1315,9
1316,9
1317,10
1318,14
1319,10
1320,10
1321,15
1322,8
1323,10
1324,3
1325,10
1326,12
1327,0
1328,6
1329,2
1330,5
1331,9
1332,3
1333,11
1334,14
1335,4
1336,15
1337,3
1338,10
1339,10
1340,10
1341,3
1342,14
1343,10
1344,10
1345,12
1346,8
1347,7
1348,15
1349,7
1350,8
1351,13
1352,7
1353,16
1354,10
1355,14
1356,10
1357,8
1358,10
1359,8
1360,1
1361,10
1362,8
1363,10
1364,9
1365,16
1366,10
1367,12
1368,1
1369,10
1370,4
1371,3
1372,7
1373,12
1374,10
1375,9
1376,10
1377,10
1378,10
1379,10
1380,12
1381,10
1382,1
1383,0
1384,12
1385,14
1386,0
1387,10
1388,9
1389,3
1390,14
1391,10
1392,9
1393,14
1394,3
1395,0
1396,2
1397,4
1398,13
1399,14
1400,9
1401,3
1402,10
1403,15
1404,10
1405,8
1406,7
1407,9
1408,6
1409,10
1410,11
1411,7
1412,7
1413,15
1414,4
1415,13
1416,6
1417,8
1418,15
1419,11
1420,5
1421,5
1422,1
1423,15
1424,1
1425,10
1426,14
1427,4
1428,0
1429,12
1430,5
1431,7
1432,10
1433,8
1434,4
1435,13
1436,8
1437,15
1438,12
1439,11
1440,15
1441,9
1442,1
1443,0
1444,9
1445,9
1446,15
1447,0
1448,16
1449,9
1450,7
1451,13
1452,3
1453,1
1454,0
1455,4
1456,8
1457,0
1458,12
1459,13
1460,12
1461,1
1462,14
1463,6
1464,0
1465,14
1466,0
1467,9
1468,14
1469,13
1470,14
1471,1
1472,7
1473,1
1474,13
1475,6
1476,13
1477,4
1478,6
1479,14
1480,5
1481,8
1482,4
1483,1
1484,4
1485,13
1486,6
1487,4
1488,1
1489,9
1490,13
1491,6
1492,1
1493,7
1494,4
1495,14
1496,9
1497,13
1498,6
1499,4
1500,6
1501,10
1502,10
1503,5
1504,10
1505,3
1506,3
1507,9
1508,9
1509,10
1510,0
1511,0
1512,9
1513,9
1514,9
1515,9
1516,10
1517,7
1518,7
1519,9
1520,5
1521,0
1522,0
1523,10
1524,6
1525,5
1526,7
1527,10
1528,4
1529,8
1530,3
1531,10
1532,4
1533,7
1534,15
1535,0
1536,0
1537,9
1538,6
1539,7
1540,8
1541,4
1542,6
1543,0
1544,0
1545,10
1546,10
1547,8
1548,0
1549,7
1550,10
1551,14
1552,15
1553,10
1554,8
1555,12
1556,9
1557,10
1558,7
1559,10
1560,9
1561,0
1562,8
1563,6
1564,9
1565,5
1566,15
1567,12
1568,10
1569,9
1570,15
1571,13
1572,3
1573,3
1574,10
1575,7
1576,15
1577,7
1578,10
1579,10
1580,3
1581,15
1582,10
1583,10
1584,8
1585,15
1586,0
1587,12
1588,8
1589,7
1590,4
1591,15
1592,7
1593,0
1594,9
1595,10
1596,8
1597,15
1598,10
1599,10
1600,10
1601,0
1602,10
1603,10
1604,10
1605,10
1606,8
1607,12
1608,1
1609,10
1610,9
1611,15
1612,9
1613,8
1614,7
1615,10
1616,0
1617,8
1618,0
1619,9
1620,10
1621,10
1622,1
1623,0
1624,6
1625,4
1626,3
1627,4
1628,10
1629,12
1630,10
1631,10
1632,9
1633,0
1634,12
1635,8
1636,9
1637,4
1638,0
1639,4
1640,7
1641,10
1642,10
1643,9
1644,10
1645,0
1646,0
1647,8
1648,15
1649,7
1650,7
1651,8
1652,3
1653,9
1654,0
1655,8
1656,10
1657,0
1658,10
1659,10
1660,8
1661,10
1662,10
1663,0
1664,0
1665,4
1666,16
1667,15
1668,10
1669,10
1670,10
1671,10
1672,8
1673,7
1674,0
1675,10
1676,8
1677,14
1678,2
1679,7
1680,9
1681,0
1682,10
1683,3
1684,6
1685,12
1686,10
1687,0
1688,10
1689,0
1690,10
1691,10
1692,10
1693,9
1694,15
1695,15
1696,10
1697,10
1698,9
1699,16
1700,8
1701,10
1702,9
1703,9
1704,7
1705,0
1706,8
1707,7
1708,6
1709,10
1710,12
1711,12
1712,12
1714,10
1715,9
1716,15
1718,10
1719,9
1720,9
1721,3
1722,6
1723,10
1724,0
1727,10
1728,15
1729,0
1730,15
1731,3
1732,10
1733,10
1734,15
1735,4
1736,9
1737,9
1738,3
1739,10
1740,6
1741,0
1742,13
1743,6
1744,14
1745,10
1746,10
1747,4
1748,9
1749,6
1750,10
1751,10
1752,9
1753,10
1754,16
1755,6
1756,2
1757,9
1758,9
1759,10
1760,9
1761,0
1762,0
1763,9
1764,0
1765,8
1766,10
1767,15
1768,15
1770,8
1771,9
1772,0
1773,7
1774,15
1775,4
1776,0
1777,6
1778,10
1779,6
1780,10
1781,7
1782,12
1783,7
1785,4
1786,8
1787,4
1788,10
1789,8
1790,5
1791,9
1792,10
1793,5
1794,3
1795,12
1796,7
1797,14
1798,10
1799,10
1800,10
1801,3
1802,0
1803,6
1804,6
1805,9
1806,15
1807,5
1808,8
1809,11
1810,9
1811,6
1812,9
1813,10
1814,12
1815,11
1816,8
1817,0
1818,15
1819,8
1820,7
1821,6
1822,9
1823,8
1824,8
1825,10
1826,10
1827,7
1828,7
1829,15
1830,12
1831,10
1832,12
1833,0
1834,8
1835,10
1836,4
1837,10
1838,10
1839,7
1840,10
1841,1
1842,10
1843,9
1844,8
1845,10
1846,10
1847,14
1848,7
1849,10
1850,4
1851,8
1852,8
1853,4
1854,0
1855,10
1856,7
1857,10
1858,7
1859,9
1860,10
1861,8
1862,15
1863,10
1864,2
1865,15
1866,9
1867,3
1868,15
1869,3
1870,10
1871,9
1872,10
1873,0
1874,10
1875,10
1876,5
1877,9
1878,10
1879,0
1880,11
1881,4
1882,3
1883,14
1884,10
1885,3
1886,10
1887,9
1888,2
1889,10
1890,10
1891,4
1892,8
1893,7
1894,14
1895,14
1896,3
1897,10
1898,10
1899,7
1900,10
1901,10
1902,8
1903,15
1904,0
1905,10
1906,10
1907,10
1908,10
1909,10
1910,8
1911,12
1912,14
1913,10
1915,0
1916,3
1917,15
1918,7
1919,8
1920,7
1921,10
1922,10
1923,7
1924,14
1925,8
1926,8
1927,8
1928,7
1929,7
1930,10
1931,10
1932,0
1933,0
1934,8
1935,10
1936,9
1937,10
1938,9
1939,12
1940,0
1941,9
1942,9
1943,13
1944,10
1945,10
1946,10
1947,13
1948,9
1949,0
1950,9
1951,8
