,data_clean
182,new plane class comparison qanta 767 sunday afternoon flight noumea sydney old plane 200 series grumpy staff generally bring earth finesse smack face
183,trip verify great flight alaska airline kansas city salt lake city seattle return
184,flight time service grea premium economy upgrade comfortable seat
185,gogo inflight entertainment wonderful long flight
186,spend time talk cabin crew friendly helpful
187,fly alaska year bad flight
188,newark seattle alaska airline flight perfect
189,staff remind old day fly treat respect kindness
190,food good plane immaculate
191,seat bit narrow sit bul head leg room wonderful
192,pleasant flight great staff try fly alaska impressed food product
193,class service great food good
194,short half hour flight seat comfortable friendly staff check disembark free snack drink
195,milan rome crew friendly attentive
196,return flight delay minute crew nice offer snack way drink
197,good experience low price
198,excellent flight assistance great staff
199,simple snack dolce salato plus drink finally good flight
200,flight arrive ahead time
201,alitalia heathrow rome bad fly experience december 2013
202,horrible service information bump
203,charge care passenger hour delay measly pound vouch
204,believe horrible flight grumpy staff terrible customer service fly alitalia
205,fly business class rome abu dhabi surprised level service new magnifica class offer comfortable lie flat seat complete privacy
206,excellent food
207,overall excellent flight
208,trip verify excellent experience fly newburgh new york sanford florida way
209,expect frill budget airline staff friendly helpful flight time problem
210,recently fly greenville clearwater leg plane leave hour late weather factor
211,step greenville inquire people wait fly long wait hour
212,flight cancel december 31st reason notification send
213,jan 1st reschedule flight delay hour reason
214,daughter use airline convenience pete bangor tired rude attendant flight delay flight
215,verify review flight dalla fort worth london heathrow delay hour time explanation apology
216,eventually board staff extremely rude condescend
217,inflight entertainment poor quality screen expect 1980 selection movie awful
218,flight food inedible
219,seat uncomfortable dirty
220,overall bad airline travel fly
221,fly miami new york jfk yesterday fairly new a321s pleased snag seater exit row 24d excellent leg space
222,despite flight usual nightmare board overhead locker space leave time arrive early
223,plus punctuality new plane nice cabin design comfortable leather seat avod friendly crew
224,negative unsurprisingly entertainment worth watch like snack pay interactive flight map wasn activate
225,decent flight excellent personalized service
226,avid critic life time truly believe airline change good
227,garbage seat pocket lunch edible wifi remain far great human component service genuíne professional
228,262 b737 rsw dfw 1st november 2014 good flight class comfortable seat food surprisingly good short flight personal ife seat good airway a320
229,fly ord sdf class great flight new aircraft
230,service excellent class seating comfortable 1x2 configuration
231,hour long flight depart time pre flight cocktail additional cocktail snack offer airborne
232,crew professional attentive flight
233,shanghai tokyo ana nice airline think good japan
234,service good food nice
235,plane clean tidy inflight entertainment good
236,think airlin good airline japan
237,ana flight kansai shanghai pudong delay heavy snow osaka cabin attendant try comfortable
238,meal serve good ife hour flight
239,cabin air dry need drink beverage prevent dehydration
240,sin hnd nrt sin overall service good usual seat truly uncomfortable instead normal design recline seat seat different result frontal space
241,pek kix great legroom seat ife 737 700 write home good hour leg
242,cabin impeccable condition service quiet attentive polite
243,superb japanese lunch fine choice wine sake shochu
244,flight antalya ankara flight time pleasant air crew passenger snack drink unfortunately want tea crew milk disappointing use pegasus milk tea
245,fra icn icn syd return fra icn leg clean tidy 747s comfortable food service good seat comfort legroom feel good emirate
246,icn syd leg old tired 777 terribly uncomfortable seat dirty upholstery stone age inflight entertainment loop movie grainy screen smile cabin staff save day constant offer drink responsive service
247,fly london manila manila korea leg short haul airbus entertainment
248,couldn book inflight meal seating policy want seat wife year old daughter away leg journey delay total journey time return journey nearly hour
249,long haul flight vienna bangkok vice versa 2013 complaint pretty good
250,seat bit narrow good fit service good food tasty entertainment flight smooth
251,madrid bogota madrid medellin horrible flight delay hour wait plane technical problem information issue people start complain
252,service unfriendly staff speak good english food bad plane uncomfortable long trip
253,baggage miss bad experience
254,cnf gru 195 pretty good quick flight come simple snack expensive holiday date extra space seat pretty comfortable want seat leave available
255,comfortable seat nice service
256,downside long delay cnf ssa staff explain free lunch
257,trip verify great attention staff nice service comfortable big leg room comparison similar airline like thai lion catering service good regional airline choice hot meal relatively short flight tea coffee attention pleasant experience
258,fly route return time plane late arrival luang prabang
259,appear late arrival routine
260,point service onboard flight excellent food drink quality
261,excellent service trip bangkok krabi return
262,efficient service include hot meal
263,aircraft clean cabin staff efficient friendly
264,hour delay samui bangkok
265,delay announce check elapse
266,believe delay flight wasn want save fuel passenger expense
267,flight bangkok phuket service excellent
268,food good quality definitely choose bangkok airway
269,good airline friendly staff time good food free space leg complain
270,nice experience biman bangladesh airline
271,flight time plane clean
272,ife enjoy travel inflight magazine offer write bengali english
273,staff nice
274,food good minute flight
275,use biman return flight good apart flight minute late
276,comfortable flight good selection entertainment english bengali decent leg room definitely worth pay usd free seat flight long
277,come hour air comfortable entire flight
278,food nice expect
